UsageStartDate,UsageEndDate,UsageType,ResourceId,UsageAmount,CurrencyCode,UnblendedCost
2018-10-20T04:00:00Z,2018-10-20T08:00:00Z,SpotUsage:i3.8xlarge,i-03ac7a6d7fda7e714,3.2508330000,USD,2.7450034040
2018-10-20T04:00:00Z,2018-10-20T08:00:00Z,SpotUsage:i3.8xlarge,i-0bdf767e874f9bb9d,3.4344440000,USD,2.9000445346
2018-10-20T04:00:00Z,2018-10-20T09:00:00Z,SpotUsage:i3.8xlarge,i-042a5e5254d6de65b,4.9308330000,USD,4.1635023071
2018-10-20T04:00:00Z,2018-10-20T09:00:00Z,SpotUsage:i3.8xlarge,i-08c7c6450cfbf4d8b,4.5997220000,USD,3.8839452979
2018-10-20T04:00:00Z,2018-10-20T09:00:00Z,SpotUsage:i3.8xlarge,i-0ef090f07daad2e72,4.0969440000,USD,3.4594498447
2018-10-20T04:00:00Z,2018-10-20T12:00:00Z,SpotUsage:i3.8xlarge,i-0d157a99724b8be55,7.2316670000,USD,6.1060964559
2018-10-20T04:00:00Z,2018-10-20T12:00:00Z,SpotUsage:i3.8xlarge,i-0ea91d3cb0f72c2a8,7.2308330000,USD,6.1053923097
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-034631dc324e1960d,9.8022220000,USD,8.2746222170
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-040c80e08209b2a4c,9.0680560000,USD,7.6560140157
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-0427655beb7da7541,9.6491670000,USD,8.1456580887
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-077c360bc43e4be32,9.1758330000,USD,7.7468269056
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-089e43afcadbe1b30,9.0091670000,USD,7.6063941499
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-08d0045607ef72f37,9.5819440000,USD,8.0890159953
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-092c9bffddbae222d,9.0452780000,USD,7.6368212751
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-0b51c858c01085f99,9.5816670000,USD,8.0887825951
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-0cf1735bddeead84c,9.7016670000,USD,8.1898945836
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-0de2f4b26e2d9aa32,9.2822220000,USD,7.8364702668
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-0e5525f483c0ed946,9.7366670000,USD,8.2193855803
2018-10-20T04:00:00Z,2018-10-20T14:00:00Z,SpotUsage:i3.8xlarge,i-0edde39a9f88c6cde,9.1377780000,USD,7.7147617662
2018-10-20T05:00:00Z,2018-10-20T06:00:00Z,SpotUsage:i3.8xlarge,i-0bd0ec5fad13b32ca,0.9938890000,USD,0.8392398872
2018-10-20T05:00:00Z,2018-10-20T08:00:00Z,SpotUsage:i3.8xlarge,i-0e5e8aec0a2642b3c,2.0788890000,USD,1.7554138883
2018-10-20T19:00:00Z,2018-10-20T22:00:00Z,SpotUsage:i3.8xlarge,i-02138e1dba7c51fb6,2.5486110000,USD,2.1344617224
2018-10-20T19:00:00Z,2018-10-20T23:00:00Z,SpotUsage:i3.8xlarge,i-06bc3e7944595d41a,3.9022220000,USD,3.2681109629
2018-10-20T19:00:00Z,2018-10-20T23:00:00Z,SpotUsage:i3.8xlarge,i-0de02d49cce63ebe4,3.9969440000,USD,3.3650271397
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-011ab2e2ad34240e1,5.0000000000,USD,4.2095000139
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0193e30de0840e525,4.3594440000,USD,3.6510343875
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-01aa94b045d806eb0,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0247cbcc36a5bca86,4.6922220000,USD,3.9503817071
